NUSP,P1,P2,Sub,M1
13679839,1.7,2.5,10.0,6.7
13679850,8.3,10.0,,9.3
13679871,5.8,3.3,4.2,5.0
13679885,7.5,6.7,,7.0
13679892,7.5,2.5,3.3,5.0
13679905,3.3,1.7,8.3,6.3
13679930,5.0,3.3,2.5,3.5
13679947,8.3,5.0,,6.3
13679951,4.2,7.5,,6.2
13679968,7.5,5.8,,6.5
13679972,8.3,4.2,,5.8
13679989,6.7,6.7,,6.7
13679993,10.0,5.8,7.5,8.5
13680000,10.0,6.7,,8.0
13680014,6.7,5.0,,5.7
13680021,7.5,8.3,,8.0
13680056,3.3,0.8,7.5,5.8
13680060,3.3,10.0,,7.3
13680077,9.2,5.8,,7.2
13680081,3.3,5.8,,5.0
13680098,4.2,5.0,4.2,4.7
13680118,6.7,5.0,,5.7
13680139,3.3,3.3,7.5,5.8
13680150,,4.2,3.3,3.8
13680164,7.5,5.8,,6.5
13680171,5.8,5.8,,5.8
13680185,4.2,3.3,8.3,6.7
13680192,5.8,5.0,,5.3
13680205,5.8,3.3,4.2,5.0
13680212,5.0,4.2,5.8,5.5
13680230,6.7,4.2,,5.2
13680247,4.2,5.8,,5.2
13680251,4.2,2.5,1.7,2.7
13680268,8.3,5.8,,6.8
13680272,9.2,7.5,,8.2
13680289,3.3,0.8,10.0,7.3
13680293,6.7,1.7,6.7,6.7
13680309,3.3,4.2,6.7,5.3
13680313,4.2,6.7,,5.7
13680341,8.3,4.2,,5.8
13680362,5.0,3.3,2.5,3.5
13680376,7.5,2.5,4.2,5.5
13680380,7.5,4.2,,5.5
13680397,5.0,6.7,,6.0
13680400,5.0,5.0,,5.0
13680417,3.3,5.0,5.8,5.3
13680421,5.0,1.7,2.5,3.5
13680438,8.3,5.8,,6.8
13680442,5.8,4.2,,5.0
13680459,7.5,5.0,,6.0
13680463,5.8,8.3,,7.3
13680470,6.7,4.2,,5.2
13680491,5.8,4.2,,5.0
13680504,5.8,4.2,,5.0
13680525,6.7,5.0,,5.7
13680532,10.0,6.7,,8.0
13680546,4.2,5.0,6.7,5.7
13680550,3.3,5.0,5.8,5.3
13680571,5.0,1.7,7.5,6.5
13680588,7.5,4.2,,5.5
13680592,6.7,6.7,10.0,8.7
13680608,3.3,1.7,5.0,4.3
13680612,2.5,1.7,2.5,2.5
13680629,6.7,7.5,,7.2
13680633,4.2,5.0,10.0,7.7
13680654,7.5,3.3,,5.0
13680661,2.5,5.0,4.2,4.7
13680675,5.8,6.7,,6.3
13680682,4.2,3.3,7.5,6.2
13680696,6.7,2.5,4.2,5.2
13680702,5.0,4.2,,4.5
13680716,3.3,4.2,5.8,5.0
13680720,5.0,4.2,,4.5
13680741,3.3,7.5,,5.8
13680758,5.0,3.3,9.2,7.5
13680779,3.3,5.8,,5.0
13680783,7.5,4.2,,5.5
13680790,3.3,4.2,8.3,6.3
13680803,9.2,3.3,,5.7
13680810,6.7,4.2,,5.2
13680824,5.0,3.3,10.0,8.0
13680845,6.7,3.3,6.7,6.7
13680852,4.2,2.5,3.3,3.7
13680866,0.8,2.5,4.2,3.2
13680887,5.8,4.2,,5.0
13680907,5.0,3.3,6.7,6.0
13680911,2.5,4.2,3.3,3.8
13680932,3.3,4.2,3.3,3.8
13680953,6.7,4.2,,5.2
13680960,5.0,3.3,,4.0
13680974,5.8,3.3,,4.3
13680981,5.0,6.7,,6.0
13680995,5.8,5.0,,5.3
13681015,5.8,5.8,,5.8
13681022,5.8,3.3,4.2,5.0
13681036,5.8,3.3,,4.3
13681057,8.3,9.2,,8.8
13681078,6.7,5.0,,5.7
13681082,7.5,1.7,8.3,8.0
13681099,4.2,6.7,,5.7
13681102,5.8,3.3,10.0,8.3
13681123,5.0,4.2,6.7,6.0
13681130,7.5,6.7,,7.0
13681165,5.0,3.3,8.3,7.0
13681190,6.7,1.7,6.7,6.7
13681206,8.3,3.3,,5.3
13681210,5.8,5.0,,5.3
13681227,5.8,5.0,,5.3
13681252,6.7,6.7,,6.7
13681269,3.3,1.7,7.5,5.8
13681280,1.7,7.5,,5.2
13681294,5.0,3.3,4.2,4.5
13681300,5.0,2.5,3.3,4.0
13681314,7.5,3.3,,5.0
13681335,6.7,5.0,,5.7
13681356,2.5,3.3,,3.0
13681377,4.2,6.7,,5.7
13681381,5.0,4.2,5.0,5.0
13681398,4.2,2.5,,3.2
13681401,4.2,4.2,,4.2
13681418,4.2,2.5,9.2,7.2
13681439,9.2,8.3,,8.7
13681443,5.8,5.0,,5.3
13681450,5.0,0.0,3.3,4.0
13681464,5.8,4.2,,5.0
13681485,8.3,4.2,,5.8
13681492,5.0,,3.3,4.0
13681505,4.2,5.0,6.7,5.7
13681512,4.2,3.3,5.8,5.2
13681526,7.5,3.3,,5.0
13681547,5.8,3.3,6.7,6.3
13681551,4.2,5.0,10.0,7.7
13681568,3.3,2.5,0.8,1.8
13681572,4.2,7.5,,6.2
13681589,5.0,5.0,,5.0
13681593,9.2,7.5,,8.2
13681609,5.8,1.7,5.8,5.8
13681620,6.7,2.5,5.0,5.7
